source_archive	path	size
Origins-Of-Life-claude-explore-repository-SsBL1.zip	TODO/external_references/Origins-Of-Life-claude-explore-repository-SsBL1/spectrum.zip (1)_FILES/ciel-cmb-analyzer.zip/index.html	16955
Origins-Of-Life-claude-explore-repository-SsBL1.zip	TODO/external_references/Origins-Of-Life-claude-explore-repository-SsBL1/spectrum.zip (1)_FILES/ciel-cmb-analyzer.zip/style.css	33896
Origins-Of-Life-claude-explore-repository-SsBL1.zip	TODO/external_references/Origins-Of-Life-claude-explore-repository-SsBL1/spectrum.zip (1)_FILES/ciel0_cmb_analyzer_english.py	20927
Origins-Of-Life-claude-explore-repository-SsBL1.zip	TODO/external_references/Origins-Of-Life-claude-explore-repository-SsBL1/spectrum.zip (1)_FILES/index.html	16955
Origins-Of-Life-claude-explore-repository-SsBL1.zip	TODO/external_references/Origins-Of-Life-claude-explore-repository-SsBL1/spectrum.zip (1)_FILES/script.py	21910
Origins-Of-Life-claude-explore-repository-SsBL1.zip	TODO/external_references/Origins-Of-Life-claude-explore-repository-SsBL1/spectrum.zip (1)_FILES/style.css	33896
Origins-Of-Life-claude-explore-repository-SsBL1.zip	TODO/external_references/Origins-Of-Life-claude-explore-repository-SsBL1/tests/__init__.py	0
Origins-Of-Life-claude-explore-repository-SsBL1.zip	TODO/external_references/Origins-Of-Life-claude-explore-repository-SsBL1/tests/test_biology.py	2925
Origins-Of-Life-claude-explore-repository-SsBL1.zip	TODO/external_references/Origins-Of-Life-claude-explore-repository-SsBL1/tests/test_chemistry.py	2259
Origins-Of-Life-claude-explore-repository-SsBL1.zip	TODO/external_references/Origins-Of-Life-claude-explore-repository-SsBL1/tests/test_simulator.py	2089
Origins-Of-Life-claude-explore-repository-SsBL1.zip	TODO/external_references/Origins-Of-Life-claude-explore-repository-SsBL1/tests/test_topology.py	2400
